,tgt_rate,cpi_yoy,pce_yoy,gdp_yoy,unrate,unrate_chg_3m,vix,t10y2y,eq_ret_12m,y
2006-05-01,5.0,3.9772727272727293,3.321534862643749,2.9729038556202125,4.6,-0.20000000000000018,14.454545454545455,0.14181818181818182,11.972003938816211,2
2006-06-01,5.25,4.1817243159525175,3.511627906976744,2.9729038556202125,4.6,-0.10000000000000053,16.918636363636363,-0.015454545454545453,3.0538483319175747,1
2006-07-01,5.25,4.104669061056954,3.4273456353752785,2.325277937424497,4.7,0.0,15.325999999999999,-0.031,-2.7472112529770887,1
2006-08-01,5.25,3.926568077511483,3.335882588586636,2.325277937424497,4.7,0.10000000000000053,13.351739130434783,-0.026956521739130435,-1.8620899749238973,1
2006-09-01,5.25,2.012072434607637,2.0800269321406217,2.325277937424497,4.5,-0.09999999999999964,12.1845,-0.05,3.6029536822444586,1
2006-10-01,5.25,1.4063284781516971,1.67697016985775,2.6345603763438197,4.4,-0.2999999999999998,11.306363636363637,-0.06666666666666668,11.641401403125418,1
2006-11-01,5.25,1.9687026754164672,1.9246731063020883,2.6345603763438197,4.5,-0.20000000000000018,10.817619047619049,-0.14523809523809525,9.344357976653693,1
2006-12-01,5.25,2.5239777889954462,2.2867522344251823,2.6345603763438197,4.4,-0.09999999999999964,10.9645,-0.10900000000000001,8.273092062959009,1
2007-01-01,5.25,2.075765178123423,2.133263102449301,1.5767249700146868,4.6,0.1999999999999993,11.0425,-0.11666666666666667,7.126467499988531,1
2007-02-01,5.25,2.420260782347028,2.389213246554367,1.5767249700146868,4.5,0.0,11.155263157894737,-0.12631578947368421,9.068960264965021,1
2007-03-01,5.25,2.798197295943927,2.564898622023759,1.5767249700146868,4.4,0.0,15.162727272727272,-0.009090909090909092,4.401043719697895,1
2007-04-01,5.25,2.5929247633283525,2.3307779164438047,1.9343747200181172,4.5,-0.09999999999999964,12.933000000000002,0.027619047619047623,6.879556528465147,1
2007-05-01,5.25,2.709885742672613,2.352983013477794,1.9343747200181172,4.4,-0.09999999999999964,13.297727272727274,-0.02,14.11221915855878,1
2007-06-01,5.25,2.692765113974227,2.3176341212501006,1.9343747200181172,4.6,0.1999999999999993,14.947619047619046,0.12238095238095237,21.42695013828564,1
2007-07-01,5.25,2.3178905864958077,2.1247260128685497,2.3680360773066234,4.7,0.20000000000000018,17.273333333333333,0.18523809523809526,27.26807810230718,1
2007-08-01,5.25,1.897448478900876,1.873715124816444,2.3680360773066234,4.6,0.1999999999999993,25.02608695652174,0.3617391304347826,19.913760839176042,0
2007-09-01,4.75,2.8338264299802685,2.534687050952855,2.3680360773066234,4.7,0.10000000000000053,22.198947368421056,0.51,18.56626126999885,0
2007-10-01,4.5,3.610698365527476,3.08847488843238,2.133364682457861,4.7,0.0,19.115652173913045,0.56,19.322205179764307,1
2007-11-01,4.5,4.373267326732666,3.5996270550330056,2.133364682457861,4.7,0.10000000000000053,25.58238095238095,0.8119999999999999,10.549357784380842,0
2007-12-01,4.25,4.108813392417532,3.471634208298058,2.133364682457861,5.0,0.2999999999999998,21.651,0.9804999999999999,9.442811981374266,0
